entry_date,exit_date,side,entry_z,exit_z,holding_days,trade_pnl,exit_reason
2023-10-30,2023-11-20,short_spread,2.255,0.468,15,0.04094,exit
2023-12-06,2024-01-18,long_spread,-2.007,-0.486,31,-0.01781,exit
2024-02-20,2024-04-24,long_spread,-2.123,-0.477,46,-0.11288,exit
2024-07-15,2024-07-18,short_spread,2.337,3.622,3,-0.0506,stop
2024-07-22,2024-07-23,short_spread,2.802,3.019,1,-0.01881,stop
2024-07-25,2024-08-05,short_spread,2.521,0.137,7,0.09537,exit
2024-11-11,2025-01-06,short_spread,2.356,0.342,40,-0.03457,exit
2025-01-30,2025-02-13,short_spread,2.041,3.169,10,-0.10452,stop
2025-02-17,2025-03-14,short_spread,2.213,0.382,19,0.04335,exit
2025-07-08,2025-07-11,long_spread,-2.324,-3.009,3,-0.04718,stop
2025-07-14,2025-08-07,long_spread,-2.336,-0.461,18,0.02219,exit
2025-10-14,2025-12-18,short_spread,2.662,0.404,47,-0.06665,exit
2025-12-30,2026-01-12,short_spread,2.461,0.179,9,0.0835,exit
2026-02-09,2026-03-31,long_spread,-2.611,-0.386,36,0.00899,exit
2026-05-07,2026-05-13,short_spread,2.489,3.025,4,-0.0468,stop
2026-05-14,2026-05-22,short_spread,2.29,0.329,6,0.06676,exit
